# Current work path is /local/shared/Xihao/rna/work
# Action is figure4 with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	YKL185W	YLL028W	YMR171C	YMR202W	YNL283C	YOR247W	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	10	0.537985125084517	0.518763012000281	0.640377489717362	0.635257897467524	0.605513038548753	0.585827390859534	0.590989732749509	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	20	0.539926488835624	0.529004044013919	0.702418985388436	0.625689914701455	0.637399326101249	0.611625601377211	0.620246891331771	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	30	0.55014211602764	0.558428453267163	0.73761105656764	0.643172851591469	0.720251501501502	0.601711306070031	0.613326130494361	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	40	0.554752508227724	0.563836761841418	0.783844963318628	0.668942488297904	0.689024390243902	0.625177183445225	0.611644131379376	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	50	0.552334799105693	0.535615195434684	0.810325867202529	0.659285007941027	0.739131836945304	0.641353949411156	0.621764201559821	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	60	0.541328302650843	0.513161242319508	0.814035395722452	0.692418903045089	0.719689028651293	0.687716099085871	0.62025352352324	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	70	0.535237824030927	0.50553236663691	0.820384215155532	0.70380349772436	0.704128949236777	0.679517239186762	0.599212930633147	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	80	0.534555650903002	0.49358234295416	0.83559785993672	0.674091881967479	0.637558621933622	0.695605723523104	0.633665910808768	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	90	0.527037647442749	0.477497378879867	0.830151691656333	0.655445433503615	0.695143472680601	0.672532998114393	0.632731430373758	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	100	0.54190715644493	0.489951207599454	0.846969945079861	0.695668439879872	0.671572054436987	0.65331310147844	0.689863306982872	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	110	0.548945225573205	0.470167488844312	0.855544506796043	0.67804189463489	0.755249810390595	0.693633659644707	0.646840564738292	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	120	0.559233682790065	0.525459884023532	0.835561097098015	0.692271837419595	0.724187403549383	0.673566878980892	0.66330870427104	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	130	0.56868210748786	0.522908323470121	0.856746377461468	0.661959951266752	0.72662691401649	0.669901705647367	0.682313503305005	
