# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure6 with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	YKL185W	YLL028W	YMR171C	YMR202W	YNL283C	YOR247W	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	10	0.53778626699722	0.523430957449297	0.622208998357176	0.637964621694909	0.580762066731454	0.614397074317824	0.579627812169712	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	20	0.541855362471476	0.541374729615348	0.703145344070984	0.638302686854973	0.669604700854701	0.577967690865215	0.616571840486059	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	30	0.545356196868418	0.551871676710386	0.739459474200938	0.641729208072538	0.721033533533534	0.619594145043247	0.602403288710867	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	40	0.546289081687789	0.553767399876479	0.771809269053596	0.639138169205848	0.697143885501355	0.614842131497375	0.61211642781961	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	50	0.543729030023595	0.552836608485948	0.794090708588093	0.679192512460919	0.680114809081527	0.645909454437109	0.581779965706068	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	60	0.536292714076566	0.500099606374808	0.810507219593929	0.690200094374667	0.66335822851153	0.691714425551398	0.607478093185492	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	70	0.530345549311067	0.487482809371004	0.813086109287316	0.707158931508785	0.692614039758608	0.687357929707991	0.62851344273743	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	80	0.517016290439474	0.480948338588407	0.817931126834251	0.667777405840764	0.660026605339105	0.676659357544135	0.612592592592593	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	90	0.534817343331972	0.483645429497964	0.837324477346461	0.671280576713265	0.703806839017235	0.684406678592725	0.646696104715345	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	100	0.540420060394844	0.465510152208367	0.845779588854739	0.727099412687187	0.720381245339299	0.669907009201707	0.664533926218709	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	110	0.549623348547524	0.499139016252508	0.839297024435352	0.69178696176316	0.732153014789533	0.645528608083152	0.64263085399449	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	120	0.565023231801755	0.4863795994974	0.869385207266427	0.708994955615633	0.758981963734568	0.67023403940157	0.651892232834745	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	130	0.579729837770571	0.539950062421973	0.859267100559876	0.743661033186509	0.768146348645465	0.629991380596396	0.679508970727101	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	140	0.582587403906687	0.560481943116369	0.852144753118235	0.731520157448991	0.766336930455635	0.67945625135645	0.670521204914784	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	150	0.58459629138977	0.586217996406212	0.837046252737711	0.723585193605086	0.789402726902727	0.62214767357783	0.631538942107455	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	160	0.583774401947907	0.573605437364788	0.839058304439636	0.747912764674137	0.755972740464345	0.60864852046952	0.732106070567609	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	170	0.589008782486334	0.599979642807227	0.824185819359406	0.752774142755312	0.782530629488804	0.62774915115426	0.672060522060522	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	180	0.591652073905832	0.612412699208807	0.838176531096693	0.761496742723276	0.832741171403962	0.634038914384916	0.670329268292683	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	190	0.602952335970402	0.636200769051503	0.810575660294761	0.742027255224635	0.804855621431708	0.649509082408353	0.713041795665635	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	200	0.595637830870302	0.641402011092453	0.782056500040033	0.766068589598001	0.802069332437276	0.653251975784644	0.663002461033634	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	10	0.534090000751258	0.512270462466958	0.635474500257815	0.634592229303104	0.593962585034014	0.593175953213517	0.588221601489758	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	20	0.548222748815166	0.542031881877175	0.708794967931716	0.639955530631721	0.677483974358974	0.59517514871117	0.625698324022346	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	30	0.548364713161849	0.550738508803025	0.736921687696205	0.668594820681677	0.726101101101101	0.607122963375575	0.60480789501423	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	40	0.550836971338049	0.53909449380018	0.773309732140681	0.649210419089075	0.723471375338753	0.633066714434804	0.61570588076539	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	50	0.546292198936851	0.542701941214393	0.79765631700832	0.668409697042342	0.681705796353629	0.677002148379307	0.616198351678743	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	60	0.544422795377379	0.50923339093702	0.818595382416716	0.72215696314368	0.692271575821104	0.712408626596568	0.633064401780904	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	70	0.532462556600488	0.4885359615895	0.818937911128179	0.700357240168327	0.676184771033014	0.645170007471109	0.658257681564246	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	80	0.538403169162815	0.501312151346107	0.848554398465333	0.721985535031395	0.658155212842713	0.67466668800717	0.623544973544973	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	90	0.537019953186495	0.49038109867603	0.827334874049579	0.723756793408991	0.756818390172351	0.690740382600848	0.612726699258792	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	100	0.546772005367703	0.496686951147793	0.837245553484154	0.681626231255701	0.702332680835198	0.657199889644428	0.671170948616601	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	110	0.553658338957906	0.493603389691735	0.851742713096791	0.661107848289079	0.722162969283277	0.675243916390201	0.694808884297521	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	120	0.556199406724358	0.510935224566403	0.842222094830442	0.709217654309479	0.716567804783951	0.656840961832815	0.67488736709317	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	130	0.581347873845501	0.546500316163237	0.847765300500942	0.748195932648152	0.749840498625834	0.660312619138391	0.697289896128423	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	140	0.573674466443816	0.554238753363428	0.828801476651892	0.672372098866242	0.782486510791367	0.659981802701214	0.67367221561633	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	150	0.580178698113481	0.567010117542033	0.832246348638596	0.721143422479029	0.801587301587302	0.617245960080042	0.654914618908788	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	160	0.581663091932555	0.587503905305911	0.822057730910608	0.702025332529126	0.804765236318408	0.630866884601704	0.636226166995398	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	170	0.587190981352307	0.558599850511361	0.824056350215673	0.725016756566978	0.823299535276722	0.650224368271085	0.708523908523909	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	180	0.588396106285386	0.610119682018231	0.823800245291976	0.722960324337045	0.805394056847545	0.634060399800615	0.677609756097561	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	190	0.607684299602472	0.635864147181439	0.828432803151904	0.77922622696912	0.809165019762846	0.653210445202514	0.706308049535604	
SeqBinary-SeqBinary	MixPoiLin	2	learn_domain_forest.R	200	0.604987361423082	0.662181961718327	0.793294123141797	0.79177616992743	0.819220430107527	0.651066836476561	0.668375717801476	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	10	0.617396363909549	0.696244356593137	0.609504095067931	0.643735377326168	0.662283365727243	0.639294385316618	0.732390910463536	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	20	0.653188157106281	0.703164676008652	0.616683042388002	0.730906210954025	0.697998849441157	0.669000445749243	0.79511752439307	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	30	0.679644107938076	0.691827956989247	0.628439268875071	0.833382773179872	0.729479479479479	0.664794442123505	0.829180720986613	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	40	0.695143724211612	0.692996104327997	0.64049513758561	0.859927650735915	0.785018631436314	0.659352170594558	0.849809732005505	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	50	0.707363186848868	0.693741792220816	0.651037518532587	0.882762478399409	0.827001633986928	0.646658250874249	0.856567011449748	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	60	0.714803678783914	0.703060195852535	0.679915422333925	0.886916056745279	0.843946540880503	0.617542114652899	0.869027025494144	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	70	0.733914164948648	0.724341930658431	0.711545965833777	0.869945404821733	0.877773340433085	0.66952264381885	0.876127502327747	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	80	0.740523524177141	0.731888188212467	0.714490582725031	0.878782345840561	0.87532693001443	0.676207205621089	0.885759637188209	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	90	0.751352896139092	0.74539414332041	0.721953953878722	0.868944561704037	0.82758067473414	0.715406372383117	0.883433212427062	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	100	0.753137467906023	0.756654755140895	0.737353252380712	0.864625934011869	0.813700130499627	0.691515603953326	0.876729249011858	
