# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure5_permute_kim with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	fold_1	fold_2	fold_3	fold_4	fold_5	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	10	0.559087182865447	0.552943140146684	0.555862264426589	0.560179673950746	0.556543951373933	0.568408805941358	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	20	0.621901560173654	0.646801411670518	0.606319012105088	0.627326041730641	0.612599888234688	0.618065273115835	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	30	0.655937252545945	0.635845602649974	0.666215132699965	0.651698378226759	0.651231185281065	0.68445931217767	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	40	0.684017975701222	0.67771650345202	0.673966273409061	0.690582008999791	0.67193598615917	0.701921348314607	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	50	0.710143788203284	0.723569526627219	0.700879371698985	0.708939679681204	0.715766804647469	0.700431148802939	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	60	0.733836485252861	0.74453557902629	0.761953885217273	0.700909254129476	0.743746370843996	0.718067709000811	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	70	0.756459246730719	0.754450877516655	0.758097022310491	0.746632300002754	0.749840081999025	0.776521850720562	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	80	0.768484938672381	0.797784963385939	0.739173116432382	0.749421910781867	0.748538753779571	0.808628257776628	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	90	0.775029061065535	0.771865275916322	0.787760101262346	0.757228422566741	0.78544463074822	0.77622891012645	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	100	0.786113717854597	0.817820595585173	0.77905064215953	0.759561956808937	0.762621493164003	0.818627271091762	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	110	0.794573579714456	0.76058877193938	0.786974856372244	0.824916634216169	0.784894588732291	0.82772068673297	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	120	0.801404939457387	0.768892067943173	0.845110890725436	0.800182503405622	0.778135445021118	0.813126592588405	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	130	0.804995016300003	0.838869189407282	0.814922116126543	0.783531796485059	0.813425033268977	0.771086857298808	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	140	0.811175584743909	0.795792032952442	0.811111694026339	0.853243319848489	0.800443850195969	0.779677876074272	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	150	0.80455397213668	0.808613673552792	0.81510341663182	0.7822074985122	0.796004422476587	0.818165827195	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	160	0.805592794564442	0.773192411924119	0.846919600494589	0.804299105645892	0.773584261283081	0.824590886401067	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	170	0.806321979933373	0.832530029296875	0.812689990949097	0.773078547297297	0.8068444	0.804397490573303	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	180	0.795086514473213	0.813288192573142	0.749447344233828	0.742101643598616	0.847791704391127	0.838029061184921	
