id	chr	strand	start	stop	gene	region	WT avg
1	1	+	10143	10168	YAL066W	CDS	3003.5819
2	1	+	10194	10225	YAL066W	CDS	0
3	1	+	10251	10277	YAL066W	CDS	331.1625
4	1	+	10300	10324	YAL066W	CDS	1426.24555
5	1	+	31398	31423	YAL062W	5'UTR	270.61405
6	1	+	31454	31454	YAL062W	5'UTR	0
7	1	+	31497	31522	YAL062W	5'UTR	7.6632
8	1	+	31824	31841	YAL062W	CDS	0.92265
9	1	+	31895	31924	YAL062W	CDS	0
10	1	+	32123	32141	YAL062W	CDS	0
11	1	+	32161	32185	YAL062W	CDS	0
12	1	+	32219	32238	YAL062W	CDS	0
13	1	+	32536	32562	YAL062W	CDS	0
14	1	+	32784	32804	YAL062W	CDS	0
15	1	+	32840	32859	YAL062W	CDS	0.4381
16	1	+	32949	32974	YAL062W	3'UTR	0
17	1	+	32991	33013	YAL062W	3'UTR	18.3292
18	1	+	33314	33336	YAL061W	5'UTR	0
19	1	+	33387	33407	YAL061W	5'UTR	21.9023
20	1	+	33416	33433	YAL061W	5'UTR	224.0635
21	1	+	33485	33503	YAL061W	CDS	80.0329
22	1	+	33636	33655	YAL061W	CDS	49.1731
23	1	+	33903	33924	YAL061W	CDS	1.08975
24	1	+	34043	34067	YAL061W	CDS	1.0893
25	1	+	34283	34308	YAL061W	CDS	21.889
26	1	+	34316	34340	YAL061W	CDS	1.39495
27	1	+	34348	34374	YAL061W	CDS	0.54485
28	1	+	34560	34583	YAL061W	CDS	5.8735
29	1	+	34607	34629	YAL061W	CDS	15.781
30	1	+	34748	34774	YAL061W	3'UTR	360.3824
31	1	+	34799	34810	YAL061W	3'UTR	22.1282
32	1	+	35070	35090	YAL060W	5'UTR	7.2081
33	1	+	35131	35154	YAL060W	5'UTR	0
34	1	+	35185	35202	YAL060W	CDS	23.23345
35	1	+	35216	35235	YAL060W	CDS	0.61395
36	1	+	35240	35247	YAL060W	CDS	0.8527
37	1	+	35290	35304	YAL060W	CDS	0.05675
38	1	+	35330	35366	YAL060W	CDS	3.59745
39	1	+	35386	35409	YAL060W	CDS	0.7665
40	1	+	35482	35514	YAL060W	CDS	44.638
41	1	+	35577	35577	YAL060W	CDS	0.6273
