ID	chr	strand	start	stop	gene	region	Binding site coverage (RPM)
1	1	+	48269	48295	YAL053W	3'UTR	6005.864
2	1	+	71813	71841	YAL038W	CDS	4337.382
3	1	+	72055	72078	YAL038W	CDS	130.482
12	1	+	73330	73353	YAL038W	3'UTR	70476.962
13	1	+	73360	73383	YAL038W	3'UTR	7532.410
14	1	+	73393	73419	YAL038W	3'UTR	20274.719
15	1	+	79497	79514	YAL035W	3'UTR	5070.312
16	1	+	93377	93396	YAL028W	CDS	2068.114
17	1	+	120790	120808	YAL017W	CDS	697.486
21	1	+	142381	142405	YAL003W	intron	4974.893
23	1	+	143003	143024	YAL003W	CDS	7273.987
24	1	+	143318	143348	YAL003W	3'UTR	5633.673
27	1	-	56950	56975	YAL046C	3'UTR	4300.487
29	1	-	74987	75011	YAL036C	3'UTR	1674.656
30	1	-	90865	90885	YAL029C	CDS	3114.151
33	1	-	106169	106191	YAL023C	3'UTR	3590.477
35	1	-	139400	139426	YAL005C	3'UTR	12751.577
37	1	-	139619	139636	YAL005C	CDS	3.271
40	1	-	141295	141329	YAL005C	CDS	12116.962
41	1	-	150862	150879	YAL001C	CDS	1678.109
43	2	+	38855	38877	YBL099W	3'UTR	7269.620
46	2	+	93432	93450	YBL068W	3'UTR	1602.145
47	2	+	111218	111237	YBL059W	CDS	6356.069
48	2	+	146905	146924	YBL038W	3'UTR	20921.669
50	2	+	169431	169449	YBL027W	3'UTR	2061.388
52	2	+	174599	174628	YBL024W	3'UTR	5337.459
54	2	+	236855	236881	YBL002W	CDS	4627.079
55	2	+	236919	236949	YBL002W	3'UTR	8743.482
56	2	+	237032	237058	YBL002W	3'UTR	60681.451
57	2	+	244292	244315	YBR003W	3'UTR	12137.491
58	2	+	256843	256866	YBR010W	3'UTR	4906.757
59	2	+	256868	256886	YBR010W	3'UTR	1560.711
60	2	+	260528	260549	YBR012W-A	CDS	39.983
61	2	+	284384	284406	YBR022W	3'UTR	183.913
65	2	+	316629	316660	YBR039W	3'UTR	3431.085
68	2	+	333906	333928	YBR048W	3'UTR	5404.510
69	2	+	349397	349415	YBR056W	3'UTR	6.907
71	2	+	394873	394897	YBR078W	3'UTR	4516.038
72	2	+	409669	409686	YBR083W	CDS	1612.687
73	2	+	436734	436769	YBR096W	3'UTR	13980.985
74	2	+	452736	452754	YBR106W	CDS	716.749
75	2	+	452768	452787	YBR106W	CDS	4104.035
76	2	+	453241	453259	YBR106W	3'UTR	2541.339
78	2	+	479067	479098	YBR118W	3'UTR	22904.539
79	2	+	516330	516347	YBR139W	CDS	1936.525
80	2	+	517223	517248	YBR139W	3'UTR	4564.365
81	2	+	528803	528826	YBR142W	CDS	4073.695
82	2	+	536228	536246	YBR146W	3'UTR	46842.453
83	2	+	536275	536292	YBR146W	3'UTR	1583.246
84	2	+	556345	556382	YBR158W	5'UTR	9124.367
85	2	+	556454	556482	YBR158W	5'UTR	5412.514
86	2	+	556506	556528	YBR158W	5'UTR	5821.226
87	2	+	557941	557963	YBR158W	CDS	3937.402
89	2	+	559599	559617	YBR159W	CDS	2006.136
90	2	+	596063	596081	YBR183W	5'UTR	4564.729
92	2	+	605534	605561	YBR189W	3'UTR	5271.658
94	2	+	608790	608818	YBR192W	3'UTR	6471.826
95	2	+	608967	608991	YBR192W	3'UTR	5415.590
96	2	+	609004	609029	YBR192W	3'UTR	47178.412
97	2	+	623468	623485	YBR201W	5'UTR	2152.435
98	2	+	634902	634920	YBR206W	CDS	2337.612
100	2	+	722373	722391	YBR251W	3'UTR	1968.161
101	2	+	731520	731549	YBR259W	CDS	3031.281
103	2	+	741643	741661	YBR268W	3'UTR	26984.060
104	2	+	768683	768705	YBR282W	3'UTR	3816.188
105	2	+	768740	768757	YBR282W	3'UTR	1468.755
107	2	+	782018	782038	YBR289W	CDS	3381.305
109	2	-	10255	10272	YBL107C	CDS	3.271
112	2	-	88449	88466	YBL072C	3'UTR	1740.262
114	2	-	109991	110020	YBL059C-A	3'UTR	5.451
115	2	-	110062	110084	YBL059C-A	3'UTR	16816.360
117	2	-	110474	110492	YBL059C-A	intron	2265.098
118	2	-	134105	134122	YBL045C	3'UTR	1449.128
119	2	-	164070	164088	YBL030C	5'UTR	10.359
120	2	-	177818	177844	YBL022C	3'UTR	11635.566
122	2	-	186800	186819	YBL017C	3'UTR	3158.488
123	2	-	187904	187929	YBL017C	CDS	6066.934
125	2	-	272727	272751	YBR017C	CDS	2594.220
129	2	-	296278	296298	YBR029C	3'UTR	3897.410
130	2	-	338696	338713	YBR052C	3'UTR	3562.308
133	2	-	370826	370847	YBR066C	5'UTR	3542.297
134	2	-	372042	372062	YBR067C	3'UTR	2638.741
136	2	-	376551	376568	YBR069C	3'UTR	1475.298
137	2	-	395347	395365	YBR079C	3'UTR	4039.888
138	2	-	406518	406535	YBR082C	3'UTR	634.606
139	2	-	414116	414154	YBR084C-A	3'UTR	21.263
140	2	-	418609	418634	YBR085C-A	3'UTR	4.724
141	2	-	419115	419137	YBR085C-A	CDS	4539.303
145	2	-	488806	488837	YBR126C	3'UTR	10025.763
146	2	-	492194	492231	YBR127C	CDS	6.905
147	2	-	502358	502375	YBR133C	CDS	1226.689
149	2	-	531813	531847	YBR143C	CDS	11468.174
150	2	-	564469	564495	YBR162C	CDS	5839.023
151	2	-	586527	586545	YBR179C	3'UTR	6394.769
152	2	-	591668	591694	YBR181C	3'UTR	5078.495
153	2	-	599026	599057	YBR185C	3'UTR	6600.499
154	2	-	612125	612147	YBR196C	3'UTR	9014.414
157	2	-	613319	613347	YBR196C	CDS	5507.378
158	2	-	617956	617988	YBR198C	CDS	4599.814
159	2	-	664948	664968	YBR221C	3'UTR	4591.627
160	2	-	668452	668470	YBR222C	5'UTR	2092.464
161	2	-	680705	680733	LSR1	snRNA	54752.998
162	2	-	681073	681090	LSR1	snRNA	3.271
163	2	-	681836	681858	LSR1	snRNA	4008.442
166	2	-	729704	729731	YBR258C	3'UTR	5217.147
167	2	-	735666	735690	YBR262C	3'UTR	48732.238
168	2	-	735696	735713	YBR262C	3'UTR	1180.892
169	2	-	743584	743606	YBR270C	CDS	367.825
170	2	-	770300	770318	YBR283C	CDS	2375.602
171	2	-	784996	785016	YBR292C	CDS	2564.596
173	3	+	35904	35923	YCL051W	CDS	9026.426
175	3	+	52394	52419	YCL040W	3'UTR	108.675
176	3	+	60743	60765	YCL036W	3'UTR	8033.798
177	3	+	60774	60797	YCL036W	3'UTR	4.361
178	3	+	119195	119213	YCR003W	3'UTR	2506.797
184	3	+	139085	139105	YCR012W	3'UTR	3236.276
185	3	+	240050	240072	YCR069W	3'UTR	3577.931
187	3	-	23945	23964	YCL058C	CDS	3209.194
191	3	-	120894	120913	YCR005C	3'UTR	2729.600
192	3	-	141436	141455	YCR015C	CDS	2300.714
194	3	-	158926	158946	YCR023C	CDS	1938.714
195	3	-	159073	159093	YCR023C	CDS	3102.710
198	3	-	162862	162912	YCR024C-A	3'UTR	9277.570
200	3	-	163301	163324	YCR025C	3'UTR	4.361
201	3	-	172865	172889	YCR028C-A	3'UTR	5047.585
204	3	-	194381	194403	YCR037C	3'UTR	5309.101
205	3	-	209872	209892	YCR046C	3'UTR	30768.969
208	3	-	250320	250342	YCR077C	CDS	4376.288
210	3	-	261100	261126	YCR084C	CDS	14.720
211	4	+	38808	38835	YDL232W	3'UTR	6162.159
213	4	+	45931	45958	YDL229W	3'UTR	22032.242
214	4	+	45976	46001	YDL229W	3'UTR	4611.623
215	4	+	90845	90862	YDL206W	CDS	1396.789
216	4	+	99278	99304	YDL202W	3'UTR	5296.738
217	4	+	109547	109569	YDL195W	CDS	12.540
218	4	+	111099	111118	YDL195W	3'UTR	3416.558
221	4	+	118595	118615	YDL191W	3'UTR	5769.803
223	4	+	130053	130073	YDL185W	3'UTR	6770.217
224	4	+	133480	133507	YDL182W	CDS	8491.943
227	4	+	185009	185027	YDL149W	CDS	3.452
228	4	+	192365	192383	YDL147W	3'UTR	1056.588
232	4	+	233914	233941	YDL128W	3'UTR	4452.437
233	4	+	246045	246065	YDL120W	CDS	16130.882
234	4	+	258927	258951	YDL112W	CDS	5633.680
236	4	+	270038	270062	YDL107W	3'UTR	13397.250
238	4	+	293332	293353	YDL092W	3'UTR	20206.726
240	4	+	309416	309451	YDL082W	3'UTR	39.254
241	4	+	309455	309476	YDL082W	3'UTR	4761.724
243	4	+	323010	323031	YDL075W	3'UTR	7116.602
245	4	+	336233	336253	YDL066W	3'UTR	2644.730
246	4	+	371901	371920	YDL046W	3'UTR	83.596
247	4	+	372586	372609	YDL045W-A	3'UTR	69439.300
250	4	+	413025	413046	YDL022W	3'UTR	3674.246
251	4	+	413050	413076	YDL022W	3'UTR	3871.419
252	4	+	428487	428506	YDL014W	3'UTR	1621.044
253	4	+	428517	428548	YDL014W	3'UTR	4530.205
254	4	+	439364	439387	YDL007W	3'UTR	4160.918
