id	chr	strand	start	stop	gene	region	WT Avg
51105	12	+	855820	855838	YLR366W	CDS	28747.9295
51106	12	+	855859	855878	YLR366W	3'UTR	24883.348
74219	15	-	746590	746615	YOR214C	5'UTR	22626.8138
18073	4	-	1154130	1154158	YDR342C	3'UTR	18584.8401
13127	4	+	1272225	1272251	YDR401W	CDS	17543.03355
43082	10	-	470182	470201	YJR023C	CDS	14395.1198
78003	16	+	702066	702086	YPR080W	3'UTR	10989.12835
46849	11	-	141596	141617	YKL164C	3'UTR	10725.6574
62329	14	+	37495	37522	YNL321W	3'UTR	9608.4967
22503	5	-	339681	339708	YER091C	3'UTR	9495.1476
78935	16	+	943241	943260	YPR202W	CDS	9357.3382
81138	16	-	665504	665533	YPR050C	5'UTR	8628.3002
16037	4	-	541552	541576	YDR042C	5'UTR	8327.5756
69852	15	+	537002	537026	YOR113W	3'UTR	8208.39
2417	2	+	479064	479099	YBR118W	3'UTR	8055.9729
68870	15	+	290717	290743	YOL019W	3'UTR	7932.18795
57241	13	+	486269	486302	YMR108W	3'UTR	7593.9422
56072	13	+	179931	179962	YML047W-A	CDS	7557.04495
62296	14	+	27233	27256	YNL327W	3'UTR	7111.04325
775	1	-	80570	80596	YAL034C-B	5'UTR	6995.7951
70476	15	+	724899	724930	YOR204W	3'UTR	6820.09335
30441	7	-	479424	479451	YGL008C	3'UTR	6619.0351
17239	4	-	907033	907057	YDR220C	CDS	6365.734
68869	15	+	290689	290698	YOL019W	3'UTR	6092.13455
29180	7	-	102278	102304	YGL206C	3'UTR	6011.5459
1967	2	+	314905	314926	YBR038W	3'UTR	5962.035
16018	4	-	527328	527347	YDR038C	3'UTR	5930.9798
13946	4	+	1489485	1489508	YDR524W-C	3'UTR	5899.5215
16035	4	-	541485	541505	YDR042C	5'UTR	5686.18675
59892	13	-	258725	258750	YML006C	5'UTR	5651.3507
78001	16	+	701997	702026	YPR080W	3'UTR	5614.89265
71800	15	+	1077913	1077935	YOR390W	3'UTR	5550.05725
13944	4	+	1489359	1489389	YDR524W-C	5'UTR	5545.45455
8976	4	+	118595	118616	YDL191W	3'UTR	5477.51555
8975	4	+	118523	118551	YDL191W	3'UTR	5432.51965
70487	15	+	725420	725442	YOR204W	3'UTR	5238.59685
68521	15	+	218559	218589	YOL059W	3'UTR	5149.49115
68632	15	+	238340	238372	YOL051W	3'UTR	5106.1079
35163	8	-	161618	161646	YHR027C	3'UTR	5101.61395
41947	10	-	153456	153489	YJL138C	3'UTR	4997.56475
44680	11	+	228818	228861	YKL112W	3'UTR	4930.1156
51468	12	+	953282	953308	YLR413W	3'UTR	4847.4891
78002	16	+	702046	702048	YPR080W	3'UTR	4825.1423
8137	3	-	142290	142312	YCR015C	5'UTR	4771.37305
48562	12	+	46782	46806	YLL047W	CDS	4607.1997
5952	2	-	591668	591694	YBR181C	3'UTR	4606.6701
18074	4	-	1154190	1154210	YDR342C	3'UTR	4548.9058
71161	15	+	880700	880721	YOR300W	CDS	4545.05905
76241	16	+	209996	210020	YPL179W	3'UTR	4448.1248
71561	15	+	1006758	1006782	YOR355W	3'UTR	4401.61255
41994	10	-	165651	165678	YJL130C	3'UTR	4332.1526
10768	4	+	602102	602132	YDR077W	3'UTR	4283.9277
42966	10	-	442772	442802	YJR004C	3'UTR	4280.93295
70486	15	+	725370	725390	YOR204W	3'UTR	4258.01725
30085	7	-	395948	395969	YGL056C	3'UTR	4257.9221
20826	5	+	412972	412995	YER125W	3'UTR	4209.122
33538	8	+	314067	314089	YHR099W	3'UTR	4175.21285
53885	12	-	550573	550595	YLR202C	CDS	4122.7576
16810	4	-	748556	748583	YDR146C	3'UTR	4089.88585
20460	5	+	301629	301659	YER070W	3'UTR	4065.0881
53237	12	-	348875	348900	YLR106C	3'UTR	4063.00065
71281	15	+	911563	911588	YOR317W	3'UTR	3983.4292
57240	13	+	486193	486212	YMR108W	3'UTR	3959.2552
52425	12	-	161680	161708	YLR006C	3'UTR	3904.97365
34472	8	+	511904	511934	YHR205W	3'UTR	3900.83935
6316	2	-	694925	694946	YBR238C	3'UTR	3895.67775
12942	4	+	1245882	1245910	YDR385W	3'UTR	3852.31805
73915	15	-	651745	651766	YOR169C	CDS	3825.211
73519	15	-	552071	552098	YOR121C	CDS	3814.29015
7888	3	-	82326	82355	YCL022C	5'UTR	3757.65645
20825	5	+	412933	412947	YER125W	3'UTR	3695.5336
20462	5	+	301760	301783	YER070W	3'UTR	3691.4918
59298	13	-	95682	95707	YML087C	5'UTR	3658.38385
56890	13	+	390845	390866	YMR058W	3'UTR	3654.27595
926	1	-	110632	110655	YAL021C	3'UTR	3627.02355
33144	8	+	209594	209618	YHR050W-A	CDS	3625.76515
4027	2	-	122349	122373	YBL051C	3'UTR	3609.8997
4805	2	-	334166	334189	YBR049C	3'UTR	3580.98745
69945	15	+	577741	577769	YOR133W	3'UTR	3580.39395
39339	10	+	121963	121992	YJL159W	3'UTR	3565.60375
10904	4	+	639914	639938	YDR096W	3'UTR	3564.0442
13276	4	+	1311780	1311807	YDR420W	3'UTR	3526.84215
33143	8	+	209559	209581	YHR050W-A	CDS	3496.9048
27351	7	+	627321	627342	YGR069W	CDS	3493.7139
48563	12	+	46926	46955	YLL047W	CDS	3470.21345
33246	8	+	236769	236791	YHR070W	3'UTR	3458.57025
26907	7	+	520918	520942	YGR014W	3'UTR	3455.7893
62328	14	+	37460	37477	YNL321W	3'UTR	3446.77535
56585	13	+	294990	295017	YMR012W	3'UTR	3416.30655
62110	13	-	879008	879035	YMR304C-A	CDS	3394.7242
30442	7	-	479472	479495	YGL008C	3'UTR	3341.66945
33403	8	+	276456	276482	YHR084W	3'UTR	3335.0979
53040	12	-	296550	296578	YLR084C	3'UTR	3333.3468
37833	9	-	94974	94995	YIL135C	3'UTR	3332.91825
59288	13	-	90701	90726	YML091C	CDS	3320.80005
54818	12	-	823588	823608	YLR347C	3'UTR	3297.5514
42448	10	-	285482	285513	YJL080C	3'UTR	3292.0218
34537	8	+	553549	553567	YHR215W	3'UTR	3273.69215
15695	4	-	432885	432903	YDL011C	5'UTR	3270.5375
47632	11	-	398774	398792	YKL020C	3'UTR	3236.11715
32962	8	+	157482	157507	YHR023W	3'UTR	3232.5658
43933	11	+	36558	36584	YKL212W	3'UTR	3187.93225
31893	7	-	947076	947093	YGR226C	5'UTR	3167.48165
37928	9	-	136457	136485	YIL119C	3'UTR	3165.4058
23117	5	-	488782	488814	YER158C	3'UTR	3156.43345
62853	14	+	190993	191016	YNL243W	3'UTR	3149.4556
76704	16	+	373098	373126	YPL093W	3'UTR	3132.60455
21564	5	-	68817	68837	YEL045C	3'UTR	3108.34575
16036	4	-	541530	541535	YDR042C	5'UTR	3104.148
17647	4	-	1045363	1045393	YDR293C	3'UTR	3103.19055
6317	2	-	694956	694967	YBR238C	3'UTR	3091.826
5726	2	-	533239	533268	YBR144C	CDS	3038.38
47159	11	-	243046	243082	YKL104C	3'UTR	3035.14555
34980	8	-	119866	119896	YHR007C	3'UTR	3029.43945
1	1	+	10143	10168	YAL066W	CDS	3003.5819
65339	14	-	56200	56223	YNL307C	3'UTR	2990.473
61965	13	-	842354	842377	YMR287C	3'UTR	2986.6935
27029	7	+	547955	547975	YGR032W	5'UTR	2972.22225
13174	4	+	1283826	1283860	YDR406W-A	CDS	2967.4744
61701	13	-	779420	779453	YMR257C	3'UTR	2940.5913
65746	14	-	174451	174469	YNL251C	5'UTR	2861.79595
76066	16	+	174731	174762	YPL198W	3'UTR	2852.5297
66181	14	-	300998	301018	YNL179C	CDS	2842.4961
66057	14	-	267289	267312	YNL197C	3'UTR	2805.16555
73486	15	-	539677	539698	YOR116C	3'UTR	2803.22135
67791	14	-	776208	776238	YNR073C	CDS	2778.48525
25903	7	+	274546	274573	YGL125W	3'UTR	2746.343
51553	12	+	971734	971756	YLR422W	3'UTR	2736.3993
39338	10	+	121940	121944	YJL159W	3'UTR	2732.00455
37929	9	-	136528	136553	YIL119C	3'UTR	2726.5971
31694	7	-	882724	882749	YGR192C	3'UTR	2688.23425
3946	2	-	96381	96409	YBL066C	3'UTR	2682.79235
15669	4	-	425774	425795	YDL016C	CDS	2680.286
17949	4	-	1120509	1120537	YDR326C	3'UTR	2677.24775
46315	11	+	630441	630465	YKR096W	3'UTR	2671.36105
76835	16	+	396574	396596	YPL084W	3'UTR	2670.3586
66061	14	-	267458	267477	YNL197C	3'UTR	2668.90985
27283	7	+	601204	601228	YGR055W	3'UTR	2666.78785
63125	14	+	253922	253951	YNL209W	3'UTR	2638.5375
65340	14	-	56241	56258	YNL307C	3'UTR	2632.8032
115	1	+	48270	48297	YAL053W	3'UTR	2614.30165
26975	7	+	532865	532891	YGR025W	CDS	2610.20305
70474	15	+	724775	724810	YOR204W	3'UTR	2605.7219
45260	11	+	356650	356677	YKL044W	3'UTR	2603.81335
40707	10	+	548317	548338	YJR059W	3'UTR	2588.50905
34493	8	+	514784	514811	YHR206W	3'UTR	2587.25925
19579	5	+	93935	93962	YEL031W	3'UTR	2581.51845
48560	12	+	46701	46721	YLL047W	CDS	2572.6346
28091	7	+	777862	777891	YGR143W	3'UTR	2565.92215
45177	11	+	325452	325477	YKL062W	3'UTR	2556.64835
46110	11	+	584776	584800	YKR077W	3'UTR	2555.4105
59839	13	-	250932	250957	YML009C-A	CDS	2555.0221
70053	15	+	608620	608643	YOR147W	3'UTR	2554.449
44595	11	+	212428	212448	YKL123W	3'UTR	2550.265
69689	15	+	513037	513070	YOR099W	3'UTR	2542.97275
80385	16	-	445705	445728	YPL058C	3'UTR	2517.7289
66059	14	-	267380	267406	YNL197C	3'UTR	2516.48395
41774	10	-	118896	118918	YJL160C	5'UTR	2509.16695
29320	7	-	149434	149466	YGL188C	CDS	2498.30875
66176	14	-	300666	300687	YNL179C	CDS	2484.9734
16573	4	-	682636	682663	YDR116C	3'UTR	2466.5381
43441	10	-	590784	590811	YJR090C	3'UTR	2463.75205
57374	13	+	520521	520543	YMR125W	3'UTR	2457.59015
75507	16	+	37819	37844	YPL268W	CDS	2451.94065
8736	4	+	45976	46001	YDL229W	3'UTR	2450.5468
22680	5	-	378735	378760	YER110C	3'UTR	2443.06835
16023	4	-	538532	538555	YDR040C	5'UTR	2439.69865
32926	8	+	149604	149626	YHR021W-A	CDS	2431.4266
36429	9	+	105690	105709	YIL130W	3'UTR	2427.4886
80956	16	-	600586	600610	YPR021C	3'UTR	2427.2233
39337	10	+	121913	121928	YJL159W	3'UTR	2419.04005
26976	7	+	532902	532913	YGR025W	CDS	2410.73425
21705	5	-	122302	122321	YEL018C-A	5'UTR	2409.96885
355	1	+	124446	124469	YAL017W	3'UTR	2389.06405
49025	12	+	208525	208551	YLR032W	3'UTR	2357.9075
36184	8	-	504398	504434	YHR203C	3'UTR	2352.0716
42967	10	-	442821	442839	YJR004C	3'UTR	2344.46895
25777	7	+	248237	248257	YGL139W	3'UTR	2339.3266
25200	7	+	89575	89600	YGL215W	3'UTR	2336.16825
32535	8	+	17463	17485	YHL041W	CDS	2327.91985
6739	3	+	18657	18688	YCL063W	3'UTR	2316.41465
44578	11	+	210526	210551	YKL124W	5'UTR	2274.61875
76816	16	+	393710	393732	YPL085W	3'UTR	2272.60805
21800	5	-	157697	157723	YER003C	3'UTR	2271.67315
10411	4	+	509325	509345	YDR033W	3'UTR	2268.73035
69943	15	+	577679	577699	YOR133W	3'UTR	2268.008
65939	14	-	235846	235864	YNL219C	3'UTR	2266.7511
65747	14	-	174508	174532	YNL251C	5'UTR	2260.0552
25043	7	+	58931	58960	YGL234W	3'UTR	2252.04505
30086	7	-	395986	396007	YGL056C	3'UTR	2247.2618
26758	7	+	485478	485498	YGL006W-A	CDS	2244.2908
57373	13	+	520484	520502	YMR125W	3'UTR	2233.6427
10291	4	+	470466	470496	YDR011W	3'UTR	2225.29235
74480	15	-	822426	822451	YOR267C	3'UTR	2216.9211
42264	10	-	228861	228888	YJL103C	3'UTR	2213.97775
20248	5	+	232214	232236	YER040W	3'UTR	2213.82725
63406	14	+	332202	332236	YNL162W	3'UTR	2211.17695
15765	4	-	458494	458520	YDR006C	3'UTR	2205.4722
38670	9	-	308535	308570	YIL025C	CDS	2203.18435
68038	15	+	87574	87602	YOL123W	5'UTR	2203.0382
10292	4	+	470536	470558	YDR011W	3'UTR	2202.9598
15449	4	-	378829	378854	YDL040C	3'UTR	2200.326
65620	14	-	146801	146827	YNL263C	3'UTR	2188.6932
46958	11	-	169044	169072	YKL148C	3'UTR	2184.50655
19057	4	-	1462238	1462265	YDR507C	3'UTR	2179.1805
8390	3	-	199488	199512	YCR038C	CDS	2178.51975
72997	15	-	394804	394828	YOR034C	3'UTR	2175.07575
8919	4	+	111098	111119	YDL195W	3'UTR	2173.8522
32021	7	-	970637	970661	YGR240C	3'UTR	2167.3761
75640	16	+	90354	90376	YPL243W	3'UTR	2161.3692
40313	10	+	431367	431390	YJL005W	3'UTR	2146.64265
58580	13	+	801485	801510	YMR266W	3'UTR	2140.69615
48819	12	+	129039	129064	YLL011W	3'UTR	2135.013
51467	12	+	953241	953267	YLR413W	3'UTR	2130.65385
28638	7	+	935873	935899	YGR218W	3'UTR	2125.0328
42177	10	-	209869	209898	YJL110C	3'UTR	2114.74515
77291	16	+	520730	520760	YPL016W	5'UTR	2112.4188
44788	11	+	253490	253515	YKL101W	3'UTR	2103.12885
59824	13	-	241705	241726	YML016C	5'UTR	2092.0324
78936	16	-	13203	13225	YPL279C	3'UTR	2090.66175
212	1	+	73395	73420	YAL038W	3'UTR	2078.78675
19020	4	-	1456198	1456224	YDR504C	3'UTR	2078.40555
57058	13	+	426328	426349	YMR079W	3'UTR	2066.79085
68671	15	+	246903	246926	YOL045W	3'UTR	2065.2321
19161	4	-	1486971	1486989	YDR523C	CDS	2063.71965
78665	16	+	864074	864100	YPR160W	3'UTR	2048.87045
74218	15	-	746447	746466	YOR214C	5'UTR	2026.62475
17863	4	-	1089058	1089087	YDR313C	3'UTR	2023.3744
54884	12	-	837872	837906	YLR355C	3'UTR	2023.01285
50046	12	+	576437	576463	YLR219W	3'UTR	2008.50175
76703	16	+	373066	373080	YPL093W	3'UTR	2004.43305
18430	4	-	1284037	1284059	YDR407C	3'UTR	2002.31035
41945	10	-	153360	153380	YJL138C	3'UTR	1994.00685
28725	7	+	977489	977510	YGR243W	CDS	1988.72715
10870	4	+	636123	636145	YDR094W	CDS	1988.33685
69268	15	+	384885	384903	YOR029W	CDS	1967.04625
66056	14	-	267234	267255	YNL197C	3'UTR	1964.2313
62297	14	+	27275	27289	YNL327W	3'UTR	1963.1116
3947	2	-	96543	96569	YBL066C	3'UTR	1945.62325
49801	12	+	522248	522269	YLR184W	CDS	1939.265
65560	14	-	129405	129430	YNL271C	3'UTR	1938.77615
1087	2	+	5895	5916	YBL109W	CDS	1927.4708
31452	7	-	842744	842771	YGR171C	5'UTR	1923.93705
59350	13	-	112420	112442	YML076C	3'UTR	1916.6225
58183	13	+	698438	698458	YMR215W	3'UTR	1915.5962
15052	4	-	298356	298380	YDL088C	3'UTR	1915.46675
54942	12	-	868595	868617	YLR373C	3'UTR	1915.0653
70546	15	+	736243	736262	YOR208W	3'UTR	1905.3503
80504	16	-	472955	472981	YPL042C	3'UTR	1899.64665
21570	5	-	79555	79579	YEL039C	3'UTR	1895.30665
28927	7	+	1037765	1037784	YGR271W	3'UTR	1893.84075
78555	16	+	830774	830805	YPR149W	3'UTR	1892.9788
63199	14	+	279937	279964	YNL192W	3'UTR	1891.4801
7195	3	+	191705	191730	YCR034W	3'UTR	1890.9455
2194	2	+	394872	394897	YBR078W	3'UTR	1888.7596
66053	14	-	267002	267023	YNL197C	3'UTR	1887.49555
16406	4	-	626396	626425	YDR091C	3'UTR	1884.34445
49349	12	+	336082	336112	YLR096W	3'UTR	1881.1543
29599	7	-	228390	228417	YGL146C	3'UTR	1879.11845
34310	8	+	474521	474547	YHR184W	3'UTR	1878.2137
21870	5	-	189412	189438	YER017C	3'UTR	1875.9953
71996	15	-	81615	81641	YOL126C	3'UTR	1875.5917
66062	14	-	267492	267504	YNL197C	3'UTR	1867.673
80231	16	-	377172	377198	YPL090C	3'UTR	1865.69065
4150	2	-	143927	143947	YBL039C	3'UTR	1855.7249
25703	7	+	225856	225876	YGL149W	CDS	1843.0851
36339	9	+	80035	80059	YIL144W	CDS	1839.235
17649	4	-	1045454	1045473	YDR293C	3'UTR	1837.98395
4806	2	-	334207	334223	YBR049C	3'UTR	1833.77475
25902	7	+	274472	274494	YGL125W	3'UTR	1831.8778
54645	12	-	757354	757379	YLR311C	CDS	1829.50125
38527	9	-	280031	280051	YIL038C	3'UTR	1821.6199
69019	15	+	329048	329071	YOR001W	3'UTR	1816.1948
70735	15	+	780126	780154	YOR235W	CDS	1815.79015
5386	2	-	462826	462851	YBR112C	3'UTR	1811.71775
53013	12	-	294030	294052	YLR083C	3'UTR	1807.1353
14966	4	-	275062	275087	YDL103C	3'UTR	1804.64225
13677	4	+	1403111	1403133	YDR472W	5'UTR	1792.59865
2309	2	+	441363	441383	YBR097W	3'UTR	1792.37305
13066	4	+	1266210	1266240	YDR395W	3'UTR	1788.4195
62557	14	+	94986	95006	YNL287W	3'UTR	1788.22725
68630	15	+	238258	238291	YOL051W	3'UTR	1788.0772
77921	16	+	681023	681051	YPR065W	3'UTR	1778.6802
23914	6	+	216429	216456	YFR030W	3'UTR	1775.7076
64244	14	+	499474	499492	YNL067W-B	CDS	1773.852
6973	3	+	101203	101226	YCL014W	3'UTR	1770.55785
34010	8	+	406219	406245	YHR154W	3'UTR	1765.7162
45176	11	+	325418	325435	YKL062W	3'UTR	1759.3812
59935	13	-	271356	271377	YMR001C-A	CDS	1758.67175
44516	11	+	194901	194922	YKL131W	CDS	1755.6341
70475	15	+	724857	724879	YOR204W	3'UTR	1753.72935
75182	15	-	1013175	1013205	YOR360C	3'UTR	1752.47205
5150	2	-	401205	401233	YBR081C	3'UTR	1744.90145
